Time (sec),Temp C
243,101.75
243.5,101.25
244,101.5
244.5,101
245,100.75
245.5,101.5
246,101.25
246.5,101.5
247,101
247.5,101.25
248,101.25
248.5,100.75
249,101.25
249.5,101.25
250,101
250.5,101.5
251,100.75
251.5,101
252,101.25
252.5,101.25
253,101
253.5,101
254,101.5
254.5,100.75
255,100.5
255.5,101
256,100.5
256.5,101.25
257,101.25
257.5,100.75
258,100.75
258.5,101.25
259,100.5
259.5,100
260,101.25
260.5,100.5
261,100.5
261.5,101
262,100.5
262.5,100.5
263,100.5
263.5,100.25
264,100.25
264.5,100.5
265,100.25
265.5,100.25
266,100.25
266.5,100.5
267,100.25
267.5,100.75
268,100.5
268.5,100.75
269,100.75
269.5,100.25
270,100.75
270.5,100.5
271,100.25
271.5,100.75
272,100.75
272.5,100.75
273,100.25
273.5,100.75
274,100.5
274.5,100.75
275,100.25
275.5,100.75
276,100.5
276.5,100.5
277,100.25
277.5,99.75
278,100.25
278.5,100.5
279,100.5
279.5,100.25
280,100
280.5,100.25
281,100
281.5,100.5
282,100.25
282.5,100
283,100
283.5,100
284,100
