TemC,time sec,time(offset)
100.258224,68.238,54.635
100.258224,68.461,54.858
100.258224,68.684,55.081
100.008224,68.907,55.304
99.758224,69.13,55.527
100.258224,69.353,55.75
100.258224,69.576,55.973
100.258224,69.799,56.196
100.758224,70.022,56.419
100.258224,70.245,56.642
100.258224,70.468,56.865
100.508224,70.691,57.088
100.758224,70.914,57.311
100.008224,71.137,57.534
100.508224,71.36,57.757
100.758224,71.583,57.98
100.508224,71.806,58.203
101.008224,72.029,58.426
100.508224,72.252,58.649
100.758224,72.475,58.872
100.508224,72.698,59.095
100.508224,72.921,59.318
