#,Resistance (k Ohm)
1,0.996
2,1
3,0.987
4,1.009
5,0.976
6,0.987
7,0.984
8,0.996
9,0.992
10,0.996
11,0.995
12,1.001
13,0.991
14,0.986
15,1.008
16,0.99
17,1.004
18,0.996
19,0.991
20,0.998
1,1
2,0.985
3,0.992
4,0.98
5,0.999
6,1
7,0.997
8,0.981
9,0.993
10,	1.002
11,0.984
12,0.994
13,1.001
14,1
15,1.006
16,0.993
17,0.989
18,0.995
19,0.988
20,0.994
1,0.989
2,0.993
3,0.992
4,0.988
5,1.005
6,0.998
7,1.007
8,0.992
9,0.997
10,	1.003
11,0.995
12,0.996
13,0.994
14,0.996
15,0.998
16,0.992
17,0.989
18,0.977
19,0.991
20,0.987
1,1
2,0.991
3,0.998
4,0.988
5,0.999
6,1.007
7,0.965
8,1.005
9,0.995
10,1.002
11,0.994
12,0.989
13,0.998
14,0.995
15,0.988
16,0.981
17,0.985
18,0.987
19,0.992
20,0.987
1,0.982
2,1.002
3,1.003
4,0.99
5,0.984
6,0.992
7,0.999
8,0.999
9,0.977
10,1.001
11,1
12,0.995
13,0.991
14,0.997
15,0.988
16,0.996
17,0.981
18,0.979
19,0.99
20,0.987
1,0.992
2,0.976
3,0.987
4,0.989
5,0.986
6,0.986
7,1.013
8,0.986
9,0.988
10,0.977
11,0.981
12,0.984
13,0.985
14,0.993
15,0.983
16,0.987
17,0.989
18,0.988
19,0.996
20,1.007
1,0.984
2,1.001
3,0.991
4,0.998
5,0.992
6,0.988
7,0.999
8,0.992
9,0.993
10,	0.992
11,0.995
12,0.991
13,0.995
14,0.994
15,0.997
16,0.98
17,0.998
18,0.985
19,0.997
20,0.989
1,0.995
2,0.987
3,0.989
4,0.989
5,0.991
6,0.989
7,0.992
8,0.994
9,0.994
10,0.981
11,1.011
12,0.99
13,0.994
14,0.994
15,0.993
16,0.989
17,0.981
18,0.982
19,1.009
20,0.988
