Time - Voltage,Amplitude - Voltage
0,-0.000110911
0.001,0.000546926
0.002,0.000218007
0.003,-0.00142659
0.004,-0.00142659
0.005,-0.0017555
0.006,-0.0017555
0.007,-0.00109767
0.008,-0.000768749
0.009,-0.000110911
0.01,-0.000110911
0.011,0.000218007
0.012,-0.00043983
0.013,-0.00142659
0.014,-0.00142659
0.015,-0.0017555
0.016,-0.00109767
0.017,-0.00109767
0.018,-0.000768749
0.019,-0.00043983
0.02,-0.000110911
0.021,0.000546926
0.022,-0.000768749
0.023,-0.00043983
0.024,-0.00109767
0.025,-0.00109767
0.026,-0.00142659
0.027,-0.00142659
0.028,-0.000768749
0.029,0.000218007
0.03,0.000218007
0.031,0.000218007
0.032,-0.000110911
0.033,-0.00043983
0.034,-0.00142659
0.035,-0.0017555
0.036,-0.0017555
0.037,-0.00142659
0.038,-0.000768749
0.039,-0.00043983
0.04,0.000218007
0.041,0.000546926
0.042,-0.00043983
0.043,-0.000110911
0.044,-0.00109767
0.045,-0.00208442
0.046,-0.00109767
0.047,-0.000768749
0.048,-0.00109767
0.049,-0.000110911
0.05,0.000218007
0.051,0.000218007
0.052,-0.000110911
0.053,-0.00043983
0.054,-0.000768749
0.055,-0.0017555
0.056,-0.00142659
0.057,-0.00142659
0.058,-0.00043983
0.059,-0.00043983
0.06,-0.000110911
0.061,0.000218007
0.062,-0.000110911
0.063,-0.00142659
0.064,-0.000110911
0.065,-0.00208442
0.066,-0.0017555
0.067,-0.000768749
0.068,-0.000768749
0.069,-0.00043983
0.07,0.000218007
0.071,0.000218007
0.072,-0.000110911
0.073,-0.00043983
0.074,-0.00109767
0.075,-0.0017555
0.076,-0.00142659
0.077,-0.00109767
0.078,-0.00043983
0.079,0.000218007
0.08,0.000546926
0.081,0.000218007
0.082,0.000546926
0.083,-0.000768749
0.084,-0.00142659
0.085,-0.00109767
0.086,-0.00142659
0.087,-0.00142659
0.088,-0.00109767
0.089,-0.000110911
0.09,-0.000110911
0.091,0.000218007
0.092,0.000218007
0.093,-0.00043983
0.094,-0.000768749
0.095,-0.0017555
0.096,-0.00142659
0.097,-0.00142659
0.098,-0.00043983
0.099,-0.000110911
0.1,0.000218007
0.101,0.000546926
0.102,-0.000110911
0.103,-0.00043983
0.104,-0.00109767
0.105,-0.00142659
0.106,-0.00043983
