RC2 Offset Time (Sec),RC2 Voltage (V)
0,1.88
0.000012,1.7
0.000028,1.48
0.00004,1.34
0.00006,1.12
0.000076,0.98
0.000092,0.86
0.000112,0.72
0.000136,0.58
0.000168,0.44
0.000192,0.36
0.000216,0.3
0.000236,0.26
0.000268,0.2
0.000312,0.14
0.000352,0.1
0.000388,0.08
0.000424,0.06
0.000468,0.06
0.000508,0.04
0.000584,0.04
0.000716,0.02
0.000808,0.02
