RC1 Offset Time (Sec),RC1 Voltage (V)
0,-1.02
0.00004,-0.64
0.00006,-0.36
0.00008,-0.14
0.0001,0.06
0.00013,0.28
0.00016,0.46
0.00019,0.58
0.00024,0.74
0.00029,0.86
0.00031,0.88
0.00034,0.92
0.0004,0.96
0.00048,1
0.00056,1.02
0.00061,1.02
0.00068,1.04
0.00095,1.04
0.00107,1.04
