RC3 Offset Time (Sec),RC3 Voltage (V)
0,1.04
0.0002,0.48
0.0003,0.02
0.0004,-0.3
0.0005,-0.5
0.0007,-0.78
0.0009,-0.9
0.0011,-0.98
0.0019,-1.02
0.0031,-1.02
0.0059996,-1.02
0.0059998,-0.56
0.0059999,-0.1
0.006,0.24
0.0060001,0.48
0.0060002,0.66
0.0060006,0.94
0.0072,1.02
0.0081,1.04
0.0097,1.04
0.0112,1.04
