Time - Voltage,Amplitude - Voltage
0,-0.00106429
0.001,-0.000735276
0.002,-7.73E-05
0.003,0.000251754
0.004,0.000416259
0.005,8.72E-05
0.006,-0.000241761
0.007,-0.000570771
0.008,-0.00172231
0.009,-0.00122879
0.01,-0.000899781
0.011,-0.000735276
0.012,-0.000241761
0.013,0.000416259
0.014,0.000580764
0.015,0.000251754
0.016,-7.73E-05
0.017,-0.000899781
0.018,-0.00122879
0.019,-0.00106429
0.02,-0.000899781
0.021,-0.000570771
0.022,-7.73E-05
0.023,8.72E-05
0.024,0.000745269
0.025,0.000416259
0.026,-7.73E-05
0.027,-0.000899781
0.028,-0.00106429
0.029,-0.00122879
0.03,-0.00106429
0.031,-0.000406266
0.032,-7.73E-05
0.033,0.000416259
0.034,0.000416259
0.035,0.000251754
0.036,-0.000406266
0.037,-0.000735276
0.038,-0.00172231
0.039,-0.0013933
0.04,-0.000899781
0.041,-0.000735276
0.042,-7.73E-05
0.043,-7.73E-05
0.044,0.000580764
0.045,0.000251754
0.046,-0.000406266
0.047,-0.000735276
0.048,-0.00122879
0.049,-0.00106429
0.05,-0.000899781
0.051,-0.000570771
0.052,-7.73E-05
0.053,0.000416259
0.054,0.000745269
0.055,0.000251754
0.056,-0.000241761
0.057,-7.73E-05
0.058,-0.0013933
0.059,-0.00106429
0.06,-0.00122879
0.061,-0.000570771
0.062,-7.73E-05
0.063,8.72E-05
0.064,0.000580764
0.065,0.000251754
0.066,-0.000406266
0.067,-0.000899781
0.068,-0.0013933
0.069,-0.000570771
0.07,-0.000899781
0.071,-0.000570771
0.072,-0.000241761
0.073,0.000251754
0.074,0.000580764
0.075,0.000251754
0.076,-0.000241761
0.077,-0.000735276
0.078,-0.000899781
0.079,-0.000899781
0.08,-0.0013933
0.081,-0.000899781
0.082,-0.000406266
0.083,0.000251754
0.084,0.000580764
0.085,8.72E-05
0.086,-0.000570771
0.087,-0.00106429
0.088,-0.00106429
0.089,-0.00122879
0.09,-0.00122879
0.091,-0.000735276
0.092,-0.000241761
0.093,0.000416259
0.094,0.000745269
0.095,0.000251754
0.096,-7.73E-05
0.097,-0.000570771
0.098,-0.00122879
0.099,-0.0013933
0.1,-0.00122879
0.101,-0.000735276
0.102,-0.000241761
0.103,0.000416259
0.104,0.000580764
0.105,0.000251754
0.106,-0.000241761
0.107,-0.00106429
0.108,-0.0013933
0.109,-0.00122879
0.11,-0.0013933
0.111,-0.000735276
0.112,-7.73E-05
0.113,0.000251754
0.114,0.000580764
0.115,0.000416259
0.116,-0.000241761
0.117,-0.000570771
0.118,-0.0013933
0.119,-0.0015578
0.12,-0.0013933
0.121,-0.000406266
0.122,8.72E-05
0.123,0.000745269
0.124,0.00107428
0.125,0.000251754
0.126,-0.000241761
0.127,-0.00122879
0.128,-0.00122879
0.129,-0.00122879
0.13,-0.00122879
0.131,-0.000735276
0.132,-0.000241761
0.133,0.000416259
0.134,0.000251754
0.135,8.72E-05
0.136,-7.73E-05
0.137,-0.000899781
0.138,-0.00122879
0.139,-0.00122879
0.14,-0.00106429
0.141,-0.000570771
0.142,-7.73E-05
0.143,0.000416259
0.144,0.000580764
0.145,0.000251754
0.146,-0.000406266
0.147,-0.000899781
0.148,-0.00106429
0.149,-0.0015578
0.15,-0.00122879
0.151,-0.000735276
0.152,-0.000241761
0.153,0.000580764
0.154,0.000745269
0.155,0.000251754
0.156,-0.000406266
0.157,-0.000406266
0.158,-0.00122879
0.159,-0.00106429
0.16,-0.00106429
0.161,-0.000899781
0.162,8.72E-05
0.163,0.000580764
0.164,0.000745269
0.165,0.000416259
0.166,8.72E-05
0.167,-0.000735276
0.168,-0.00122879
0.169,-0.0013933
0.17,-0.00106429
0.171,-0.000735276
0.172,-7.73E-05
0.173,0.000416259
0.174,0.000580764
0.175,0.000251754
0.176,-0.000241761
0.177,-0.000899781
0.178,-0.0013933
0.179,-0.0013933
0.18,-0.00122879
0.181,-0.000735276
0.182,-7.73E-05
0.183,0.000416259
0.184,0.000580764
0.185,-0.000406266
0.186,-0.000241761
0.187,-0.000570771
0.188,-0.0013933
0.189,-0.00122879
0.19,-0.0013933
0.191,-0.000570771
0.192,-7.73E-05
0.193,0.000251754
0.194,0.000745269
0.195,0.000251754
0.196,-7.73E-05
0.197,-0.000735276
0.198,-0.0013933
0.199,-0.0013933
0.2,-0.00106429
0.201,-0.000570771
0.202,8.72E-05
0.203,0.000251754
0.204,0.000580764
0.205,0.000251754
0.206,-0.000406266
0.207,-0.000735276
0.208,-0.000735276
0.209,-0.00122879
0.21,-0.0013933
0.211,-0.000735276
0.212,-0.000241761
0.213,0.000416259
0.214,0.000580764
0.215,0.000416259
0.216,-7.73E-05
0.217,-0.00106429
0.218,-0.0013933
0.219,-0.00122879
0.22,-0.00106429
0.221,-0.000899781
0.222,8.72E-05
0.223,0.000251754
0.224,0.000745269
0.225,0.000251754
0.226,-0.000241761
0.227,-0.000735276
0.228,-0.00122879
0.229,-0.00106429
0.23,-0.00106429
0.231,-0.000570771
0.232,-7.73E-05
0.233,0.000251754
0.234,0.000580764
0.235,0.000251754
0.236,-7.73E-05
0.237,-0.000570771
0.238,-0.00122879
0.239,-0.0013933
0.24,-0.00106429
0.241,-0.000735276
0.242,-0.000241761
0.243,8.72E-05
0.244,0.000580764
0.245,8.72E-05
0.246,-0.000406266
0.247,-0.000735276
0.248,-0.000899781
0.249,-0.00122879
0.25,-0.000899781
0.251,-0.000735276
0.252,-0.000241761
0.253,0.000251754
0.254,0.000416259
0.255,0.000251754
0.256,-7.73E-05
0.257,-0.000735276
0.258,-0.0013933
0.259,-0.00122879
0.26,-0.00106429
0.261,-0.000570771
0.262,-7.73E-05
0.263,8.72E-05
0.264,0.000745269
0.265,0.000909774
0.266,-0.000241761
0.267,-0.000735276
0.268,-0.00122879
0.269,-0.0015578
0.27,-0.000899781
0.271,-0.000570771
0.272,-0.000241761
0.273,0.000251754
0.274,0.000580764
0.275,0.000416259
0.276,8.72E-05
0.277,-0.000899781
0.278,-0.00122879
0.279,-0.0015578
0.28,-0.000899781
0.281,-0.000735276
0.282,-0.000406266
0.283,0.000251754
0.284,0.000745269
0.285,0.000251754
0.286,-0.000406266
0.287,-0.000406266
0.288,-0.0013933
0.289,-0.0013933
0.29,-0.00106429
0.291,-0.000899781
0.292,-0.000241761
0.293,8.72E-05
0.294,0.000251754
0.295,0.000251754
0.296,-0.000241761
0.297,-0.000570771
0.298,-0.00122879
0.299,-0.0013933
0.3,-0.0013933
0.301,-0.000899781
0.302,-0.000241761
0.303,0.000580764
0.304,0.000745269
0.305,0.000251754
0.306,-0.000241761
0.307,-0.000735276
0.308,-0.00106429
0.309,-0.0013933
0.31,-0.0015578
0.311,-0.00106429
0.312,-7.73E-05
0.313,-7.73E-05
0.314,0.000416259
0.315,8.72E-05
0.316,-7.73E-05
0.317,-0.000570771
0.318,-0.00122879
0.319,-0.00106429
0.32,-0.0013933
0.321,-0.000735276
0.322,-0.000241761
0.323,8.72E-05
0.324,0.000580764
0.325,8.72E-05
0.326,-0.000241761
0.327,-0.000899781
0.328,-0.00122879
0.329,-0.0013933
0.33,-0.00122879
0.331,-0.000899781
0.332,8.72E-05
0.333,0.000251754
0.334,0.000580764
0.335,0.000416259
0.336,0.000251754
0.337,-0.000735276
0.338,-0.00106429
0.339,-0.0015578
0.34,-0.000899781
0.341,-0.000735276
0.342,-7.73E-05
0.343,8.72E-05
0.344,0.000745269
0.345,0.000251754
0.346,-0.000406266
0.347,-0.000899781
0.348,-0.00106429
0.349,-0.0013933
0.35,-0.00122879
0.351,-0.00106429
0.352,-0.000406266
0.353,0.000416259
0.354,0.000416259
0.355,0.000251754
0.356,-0.000241761
0.357,-0.000570771
0.358,-0.00122879
0.359,-0.0013933
0.36,-0.00106429
0.361,-0.000735276
0.362,-7.73E-05
0.363,0.000416259
0.364,0.000745269
0.365,0.000416259
0.366,-0.000241761
0.367,-0.000899781
0.368,-0.0013933
0.369,-0.00122879
0.37,-0.00106429
0.371,-0.000899781
0.372,-7.73E-05
0.373,0.000416259
0.374,0.000745269
0.375,0.000416259
0.376,-7.73E-05
0.377,-0.000241761
0.378,-0.0013933
0.379,-0.0013933
0.38,-0.00106429
0.381,-0.00106429
0.382,8.72E-05
0.383,0.000251754
0.384,0.000580764
0.385,0.000251754
0.386,-7.73E-05
0.387,-0.000899781
0.388,-0.0013933
0.389,-0.0013933
0.39,-0.00106429
0.391,-0.000735276
0.392,-7.73E-05
0.393,-7.73E-05
0.394,0.000251754
0.395,0.000251754
0.396,0.000251754
0.397,-0.000570771
0.398,-0.000899781
0.399,-0.00122879
0.4,-0.00106429
0.401,-0.000570771
0.402,-0.000570771
0.403,0.000251754
0.404,0.000580764
0.405,0.000416259
0.406,-7.73E-05
0.407,-0.000735276
0.408,-0.000899781
0.409,-0.0013933
