Time - Voltage,Amplitude - Voltage
0,2.65E-05
0.001,-0.000467742
0.002,-0.00096199
0.003,-0.00102789
0.004,-0.00086314
0.005,-0.000632491
0.006,5.95E-05
0.007,0.000652551
0.008,0.000784351
0.009,0.000553702
0.01,0.000125354
0.011,-0.000401843
0.012,-0.000764291
0.013,-0.00125854
0.014,-0.00089609
0.015,-0.000500692
0.016,-6.44E-06
0.017,0.000619602
0.018,0.000751401
0.019,0.000553702
0.02,-7.23E-05
0.021,-0.000401843
0.022,-0.00083019
0.023,-0.00109379
0.024,-0.000994939
0.025,-0.000500692
0.026,-6.44E-06
0.027,0.000520752
0.028,0.000751401
0.029,0.000751401
0.03,0.000125354
0.031,-0.000434793
0.032,-0.000797241
0.033,-0.00089609
0.034,-0.000994939
0.035,-0.000434793
0.036,0.000158304
0.037,0.000553702
0.038,0.0008832
0.039,0.000652551
0.04,0.000257154
0.041,-0.000335943
0.042,-0.00089609
0.043,-0.00109379
0.044,-0.00092904
0.045,-0.000566592
0.046,-7.23E-05
0.047,0.000586652
0.048,0.000751401
0.049,0.000520752
0.05,0.000257154
0.051,-0.000599542
0.052,-0.00089609
0.053,-0.00109379
0.054,-0.00086314
0.055,-0.000401843
0.056,5.95E-05
0.057,0.000553702
0.058,0.000751401
0.059,0.000619602
0.06,9.24E-05
0.061,-0.000434793
0.062,-0.000797241
0.063,-0.00106084
0.064,-0.000764291
0.065,-0.000368893
0.066,9.24E-05
0.067,0.000520752
0.068,0.0008173
0.069,0.000421903
0.07,5.95E-05
0.071,-0.000335943
0.072,-0.000632491
0.073,-0.000994939
0.074,-0.00102789
0.075,-0.000533642
0.076,9.24E-05
0.077,0.000421903
0.078,0.000718451
0.079,0.000619602
0.08,9.24E-05
0.081,-0.000401843
0.082,-0.00086314
0.083,-0.00112674
0.084,-0.00089609
0.085,-0.000500692
0.086,2.65E-05
0.087,0.000520752
0.088,0.000751401
0.089,0.000586652
0.09,0.000158304
0.091,-0.000434793
0.092,-0.000764291
0.093,-0.00102789
0.094,-0.00092904
0.095,-0.000467742
0.096,2.65E-05
0.097,0.000652551
0.098,0.00085025
0.099,0.000685501
0.1,0.000257154
0.101,-0.000368893
0.102,-0.000764291
0.103,-0.000994939
0.104,-0.00092904
0.105,-0.000434793
0.106,2.65E-05
0.107,0.000553702
0.108,0.000751401
0.109,0.000652551
0.11,0.000224204
0.111,-0.000467742
0.112,-0.000632491
0.113,-0.00125854
0.114,-0.00106084
0.115,-0.000533642
0.116,2.65E-05
0.117,0.000619602
0.118,0.000751401
0.119,0.000685501
0.12,0.000224204
0.121,-0.000335943
0.122,-0.000764291
0.123,-0.00102789
0.124,-0.00092904
0.125,-0.000665441
0.126,0.000125354
0.127,0.000454852
0.128,0.000718451
0.129,0.000652551
0.13,0.000191254
0.131,-0.000368893
0.132,-0.000731341
0.133,-0.00102789
0.134,-0.00086314
0.135,-0.000566592
0.136,-6.44E-06
0.137,0.000520752
0.138,0.00117975
0.139,0.000619602
0.14,0.000158304
0.141,-0.000270043
0.142,-0.00089609
0.143,-0.00106084
0.144,-0.00106084
0.145,-0.000467742
0.146,5.95E-05
0.147,0.000388953
0.148,0.0008173
0.149,0.00085025
0.15,0.000158304
0.151,-0.000434793
0.152,-0.00083019
0.153,-0.00106084
0.154,-0.00102789
0.155,-0.000467742
0.156,5.95E-05
0.157,0.000652551
0.158,0.000751401
0.159,0.000520752
0.16,0.000290103
0.161,-0.000335943
0.162,-0.00086314
0.163,-0.00109379
0.164,-0.00096199
0.165,-0.000632491
0.166,5.95E-05
0.167,0.000586652
0.168,0.000784351
0.169,0.000619602
0.17,0.000224204
0.171,-0.000434793
0.172,-0.00083019
0.173,-0.00102789
0.174,-0.000994939
0.175,-0.000434793
0.176,9.24E-05
0.177,0.000487802
0.178,0.0008173
0.179,0.0008173
0.18,0.000224204
0.181,-0.000401843
0.182,-0.000698391
0.183,-0.00106084
0.184,-0.00092904
0.185,-0.000533642
0.186,-7.23E-05
0.187,0.000323053
0.188,0.000619602
0.189,0.000619602
0.19,0.000388953
0.191,-0.000401843
0.192,-0.00089609
0.193,-0.00119264
0.194,-0.00092904
0.195,-0.000500692
0.196,2.65E-05
0.197,0.000454852
0.198,0.000586652
0.199,0.000685501
0.2,0.000125354
0.201,-0.000335943
0.202,-0.000764291
0.203,-0.00112674
0.204,-0.000994939
0.205,-0.000599542
0.206,-3.94E-05
0.207,0.000323053
0.208,0.000718451
0.209,0.000586652
0.21,0.000224204
0.211,-0.000270043
0.212,-0.00086314
0.213,-0.00112674
0.214,-0.00089609
0.215,-0.000533642
0.216,-3.94E-05
0.217,0.000454852
0.218,0.0008173
0.219,0.000685501
0.22,0.000224204
0.221,-0.000335943
0.222,-0.00083019
0.223,-0.00112674
0.224,-0.00089609
0.225,-0.000599542
0.226,-0.000105294
0.227,0.000454852
0.228,0.0008173
0.229,0.000619602
0.23,0.000290103
0.231,-0.000302993
0.232,-0.000994939
0.233,-0.00115969
0.234,-0.000994939
0.235,-0.000599542
0.236,-6.44E-06
0.237,0.000487802
0.238,0.000784351
0.239,0.000652551
0.24,0.000257154
0.241,-0.000270043
0.242,-0.00083019
0.243,-0.000994939
0.244,-0.000994939
0.245,-0.000599542
0.246,-7.23E-05
0.247,0.000454852
0.248,0.000784351
0.249,0.000685501
0.25,0.000224204
0.251,-0.000368893
0.252,-0.000731341
0.253,-0.00086314
0.254,-0.00096199
0.255,-0.000632491
0.256,-3.94E-05
0.257,0.000421903
0.258,0.00085025
0.259,0.000586652
0.26,0.000191254
0.261,-0.000302993
0.262,-0.000698391
0.263,-0.00102789
0.264,-0.00096199
0.265,-0.000500692
0.266,-7.23E-05
0.267,0.000421903
0.268,0.0008832
0.269,0.000553702
0.27,0.000125354
0.271,-0.000335943
0.272,-0.00083019
0.273,-0.00102789
0.274,-0.00109379
0.275,-0.000566592
0.276,-7.23E-05
0.277,0.000520752
0.278,0.0008173
0.279,0.000619602
0.28,0.000290103
0.281,-0.000237094
0.282,-0.000764291
0.283,-0.00112674
0.284,-0.00089609
0.285,-0.000731341
0.286,-0.000204144
0.287,0.000553702
0.288,0.00091615
0.289,0.000652551
0.29,0.000257154
0.291,-0.000237094
0.292,-0.000698391
0.293,-0.00102789
0.294,-0.00089609
0.295,-0.000500692
0.296,-3.94E-05
0.297,0.000487802
0.298,0.000718451
0.299,0.000751401
0.3,0.000290103
0.301,-0.000302993
0.302,-0.000731341
0.303,-0.00096199
0.304,-0.00102789
0.305,-0.000566592
0.306,-0.000138244
0.307,0.000356003
0.308,0.000784351
0.309,0.000718451
0.31,0.000388953
0.311,-0.000204144
0.312,-0.00086314
0.313,-0.00106084
0.314,-0.00092904
0.315,-0.000665441
0.316,-3.94E-05
0.317,0.000454852
0.318,0.000685501
0.319,0.000685501
0.32,0.000323053
0.321,-0.000302993
0.322,-0.000731341
0.323,-0.00109379
0.324,-0.00102789
0.325,-0.000665441
0.326,5.95E-05
0.327,0.000421903
0.328,0.000751401
0.329,0.000718451
0.33,0.000158304
0.331,-0.000204144
0.332,-0.00089609
0.333,-0.00112674
0.334,-0.00092904
0.335,-0.000599542
0.336,-0.000171194
0.337,0.000257154
0.338,0.000751401
0.339,0.000553702
0.34,-6.44E-06
0.341,-0.000302993
0.342,-0.000764291
0.343,-0.00106084
0.344,-0.00106084
0.345,-0.000731341
0.346,-3.94E-05
0.347,0.000487802
0.348,0.000652551
0.349,0.000685501
0.35,0.000356003
0.351,-0.000302993
0.352,-0.000665441
0.353,-0.000994939
0.354,-0.00096199
0.355,-0.000632491
0.356,-0.000237094
0.357,0.000421903
0.358,0.000520752
0.359,0.000520752
0.36,0.000290103
0.361,-0.000401843
0.362,-0.000665441
0.363,-0.00106084
0.364,-0.00106084
0.365,-0.000665441
0.366,-6.44E-06
0.367,0.000487802
0.368,0.000751401
0.369,0.000586652
0.37,0.000323053
0.371,-0.000270043
0.372,-0.000698391
0.373,-0.00089609
0.374,-0.00092904
0.375,-0.000665441
0.376,2.65E-05
0.377,0.000323053
0.378,0.000718451
0.379,0.0008173
0.38,0.000388953
0.381,-0.000237094
0.382,-0.000797241
0.383,-0.00096199
0.384,-0.00102789
0.385,-0.000698391
0.386,-0.000138244
0.387,0.000421903
0.388,0.000784351
0.389,0.000652551
0.39,0.000323053
0.391,-0.000237094
0.392,-0.000731341
0.393,-0.00109379
0.394,-0.00102789
0.395,-0.000698391
0.396,-7.23E-05
0.397,0.000323053
0.398,0.0008173
0.399,0.000685501
0.4,0.000388953
0.401,-0.000237094
0.402,-0.000599542
0.403,-0.00092904
0.404,-0.00102789
0.405,-0.000632491
0.406,-0.000138244
0.407,0.000356003
0.408,0.000784351
0.409,0.000784351
0.41,0.000290103
0.411,-0.000270043
0.412,-0.000665441
0.413,-0.000994939
0.414,-0.00102789
0.415,-0.000632491
0.416,-7.23E-05
0.417,0.000454852
0.418,0.000751401
0.419,0.000652551
0.42,0.000323053
0.421,-0.000302993
0.422,-0.000698391
0.423,-0.000994939
0.424,-0.00112674
0.425,-0.00086314
0.426,-0.000138244
0.427,0.000290103
0.428,0.000751401
0.429,0.000685501
0.43,0.000323053
0.431,-0.000237094
0.432,-0.000698391
0.433,-0.00102789
0.434,-0.00102789
0.435,-0.000467742
0.436,-0.000138244
0.437,0.000356003
0.438,0.000784351
0.439,0.000553702
0.44,0.000421903
0.441,-0.000204144
0.442,-0.000764291
0.443,-0.00096199
0.444,-0.00092904
0.445,-0.000665441
0.446,-0.000204144
0.447,0.000323053
0.448,0.0012127
0.449,0.000652551
0.45,0.000323053
0.451,-0.000138244
0.452,-0.000731341
0.453,-0.00106084
0.454,-0.00096199
0.455,-0.00083019
