  Task, Mean,  Variance, Standard Dev
Task 1,992.3125,60.55581761006262,7.781761857706943
Task 2 Vin,5.051187499999994,0.0014042413522012585,0.03747320845886109
Task 2 Vout,2.534387499999999,0.027062025,0.16450539504830838
Task 2 Vout/Vin,0.5017437499999998,0.0010432609669811317,0.03229955056933659
Task 3 Vin,5.023125000000003,0.007750870253164553,0.08803902687538381
Task 3 Vout,-0.0030974999999999996,0.00033671670253164536,0.018349842030155064
Task 3 Vout/Vin,-0.00062264955,1.3409787798170248e-05,0.0036619377108534014
